,video_name,tag
0,dataset/train/dancing/dancin (1).mp4,dancing
1,dataset/train/dancing/dancin (10).mp4,dancing
2,dataset/train/dancing/dancin (11).mp4,dancing
3,dataset/train/dancing/dancin (12).mp4,dancing
4,dataset/train/dancing/dancin (13).mp4,dancing
5,dataset/train/dancing/dancin (14).mp4,dancing
6,dataset/train/dancing/dancin (15).mp4,dancing
7,dataset/train/dancing/dancin (16).mp4,dancing
8,dataset/train/dancing/dancin (17).mp4,dancing
9,dataset/train/dancing/dancin (18).mp4,dancing
10,dataset/train/dancing/dancin (2).mp4,dancing
11,dataset/train/dancing/dancin (3).mp4,dancing
12,dataset/train/dancing/dancin (4).mp4,dancing
13,dataset/train/dancing/dancin (5).mp4,dancing
14,dataset/train/dancing/dancin (6).mp4,dancing
15,dataset/train/dancing/dancin (7).mp4,dancing
16,dataset/train/dancing/dancin (8).mp4,dancing
17,dataset/train/dancing/dancin.mp4,dancing
18,dataset/train/dancing/dancing (1).mp4,dancing
19,dataset/train/dancing/dancing (10).mp4,dancing
20,dataset/train/dancing/dancing (11).mp4,dancing
21,dataset/train/dancing/dancing (12).mp4,dancing
22,dataset/train/dancing/dancing (13).mp4,dancing
23,dataset/train/dancing/dancing (14).mp4,dancing
24,dataset/train/dancing/dancing (15).mp4,dancing
25,dataset/train/dancing/dancing (16).mp4,dancing
26,dataset/train/dancing/dancing (17).mp4,dancing
27,dataset/train/dancing/dancing (18).mp4,dancing
28,dataset/train/dancing/dancing (19).mp4,dancing
29,dataset/train/dancing/dancing (2).mp4,dancing
30,dataset/train/dancing/dancing (20).mp4,dancing
31,dataset/train/dancing/dancing (3).mp4,dancing
32,dataset/train/dancing/dancing (4).mp4,dancing
33,dataset/train/dancing/dancing (5).mp4,dancing
34,dataset/train/dancing/dancing (6).mp4,dancing
35,dataset/train/dancing/dancing (7).mp4,dancing
36,dataset/train/dancing/dancing (8).mp4,dancing
37,dataset/train/dancing/dancing (9).mp4,dancing
38,dataset/train/dancing/dancings (1).mp4,dancing
39,dataset/train/dancing/dancings (10).mp4,dancing
40,dataset/train/dancing/dancings (11).mp4,dancing
41,dataset/train/dancing/dancings (14).mp4,dancing
42,dataset/train/dancing/dancings (2).mp4,dancing
43,dataset/train/dancing/dancings (3).mp4,dancing
44,dataset/train/dancing/dancings (4).mp4,dancing
45,dataset/train/dancing/dancings (5).mp4,dancing
46,dataset/train/dancing/dancings (6).mp4,dancing
47,dataset/train/dancing/dancings (7).mp4,dancing
48,dataset/train/dancing/dancings (8).mp4,dancing
49,dataset/train/dancing/dancings (9).mp4,dancing
50,dataset/train/exercise/exercis (1).mp4,exercise
51,dataset/train/exercise/exercis (10).mp4,exercise
52,dataset/train/exercise/exercis (11).mp4,exercise
53,dataset/train/exercise/exercis (12).mp4,exercise
54,dataset/train/exercise/exercis (2).mp4,exercise
55,dataset/train/exercise/exercis (3).mp4,exercise
56,dataset/train/exercise/exercis (4).mp4,exercise
57,dataset/train/exercise/exercis (5).mp4,exercise
58,dataset/train/exercise/exercis (6).mp4,exercise
59,dataset/train/exercise/exercis (7).mp4,exercise
60,dataset/train/exercise/exercis (8).mp4,exercise
61,dataset/train/exercise/exercis (9).mp4,exercise
62,dataset/train/exercise/exercise (1).mp4,exercise
63,dataset/train/exercise/exercise (10).mp4,exercise
64,dataset/train/exercise/exercise (11).mp4,exercise
65,dataset/train/exercise/exercise (12).mp4,exercise
66,dataset/train/exercise/exercise (13).mp4,exercise
67,dataset/train/exercise/exercise (14).mp4,exercise
68,dataset/train/exercise/exercise (15).mp4,exercise
69,dataset/train/exercise/exercise (16).mp4,exercise
70,dataset/train/exercise/exercise (17).mp4,exercise
71,dataset/train/exercise/exercise (18).mp4,exercise
72,dataset/train/exercise/exercise (19).mp4,exercise
73,dataset/train/exercise/exercise (2).mp4,exercise
74,dataset/train/exercise/exercise (20).mp4,exercise
75,dataset/train/exercise/exercise (21).mp4,exercise
76,dataset/train/exercise/exercise (22).mp4,exercise
77,dataset/train/exercise/exercise (23).mp4,exercise
78,dataset/train/exercise/exercise (24).mp4,exercise
79,dataset/train/exercise/exercise (3).mp4,exercise
80,dataset/train/exercise/exercise (4).mp4,exercise
81,dataset/train/exercise/exercise (5).mp4,exercise
82,dataset/train/exercise/exercise (6).mp4,exercise
83,dataset/train/exercise/exercise (7).mp4,exercise
84,dataset/train/exercise/exercise (8).mp4,exercise
85,dataset/train/exercise/exercise (9).mp4,exercise
86,dataset/train/exercise/exercisee (1).mp4,exercise
87,dataset/train/exercise/exercisee (10).mp4,exercise
88,dataset/train/exercise/exercisee (11).mp4,exercise
89,dataset/train/exercise/exercisee (2).mp4,exercise
90,dataset/train/exercise/exercisee (3).mp4,exercise
91,dataset/train/exercise/exercisee (4).mp4,exercise
92,dataset/train/exercise/exercisee (5).mp4,exercise
93,dataset/train/exercise/exercisee (6).mp4,exercise
94,dataset/train/exercise/exercisee (7).mp4,exercise
95,dataset/train/exercise/exercisee (8).mp4,exercise
96,dataset/train/exercise/exercisee (9).mp4,exercise
97,dataset/train/yoga/yoga (1).mp4,yoga
98,dataset/train/yoga/yoga (10).mp4,yoga
99,dataset/train/yoga/yoga (11).mp4,yoga
100,dataset/train/yoga/yoga (12).mp4,yoga
101,dataset/train/yoga/yoga (13).mp4,yoga
102,dataset/train/yoga/yoga (14).mp4,yoga
103,dataset/train/yoga/yoga (15).mp4,yoga
104,dataset/train/yoga/yoga (16).mp4,yoga
105,dataset/train/yoga/yoga (17).mp4,yoga
106,dataset/train/yoga/yoga (18).mp4,yoga
107,dataset/train/yoga/yoga (19).mp4,yoga
108,dataset/train/yoga/yoga (2).mp4,yoga
109,dataset/train/yoga/yoga (20).mp4,yoga
110,dataset/train/yoga/yoga (21).mp4,yoga
111,dataset/train/yoga/yoga (22).mp4,yoga
112,dataset/train/yoga/yoga (23).mp4,yoga
113,dataset/train/yoga/yoga (3).mp4,yoga
114,dataset/train/yoga/yoga (4).mp4,yoga
115,dataset/train/yoga/yoga (5).mp4,yoga
116,dataset/train/yoga/yoga (6).mp4,yoga
117,dataset/train/yoga/yoga (7).mp4,yoga
118,dataset/train/yoga/yoga (8).mp4,yoga
119,dataset/train/yoga/yoga (9).mp4,yoga
120,dataset/train/yoga/yoga_asana (1).mp4,yoga
121,dataset/train/yoga/yoga_asana (10).mp4,yoga
122,dataset/train/yoga/yoga_asana (11).mp4,yoga
123,dataset/train/yoga/yoga_asana (12).mp4,yoga
124,dataset/train/yoga/yoga_asana (13).mp4,yoga
125,dataset/train/yoga/yoga_asana (14).mp4,yoga
126,dataset/train/yoga/yoga_asana (15).mp4,yoga
127,dataset/train/yoga/yoga_asana (16).mp4,yoga
128,dataset/train/yoga/yoga_asana (17).mp4,yoga
129,dataset/train/yoga/yoga_asana (18).mp4,yoga
130,dataset/train/yoga/yoga_asana (19).mp4,yoga
131,dataset/train/yoga/yoga_asana (2).mp4,yoga
132,dataset/train/yoga/yoga_asana (20).mp4,yoga
133,dataset/train/yoga/yoga_asana (21).mp4,yoga
134,dataset/train/yoga/yoga_asana (22).mp4,yoga
135,dataset/train/yoga/yoga_asana (23).mp4,yoga
136,dataset/train/yoga/yoga_asana (24).mp4,yoga
137,dataset/train/yoga/yoga_asana (25).mp4,yoga
138,dataset/train/yoga/yoga_asana (3).mp4,yoga
139,dataset/train/yoga/yoga_asana (4).mp4,yoga
140,dataset/train/yoga/yoga_asana (5).mp4,yoga
141,dataset/train/yoga/yoga_asana (6).mp4,yoga
142,dataset/train/yoga/yoga_asana (7).mp4,yoga
143,dataset/train/yoga/yoga_asana (8).mp4,yoga
144,dataset/train/yoga/yoga_asana (9).mp4,yoga
